"ids","X","L1","L2","A","C","Y"
75,3,1,1,1,4.23403254293771,8.30194657091474
76,1,1,0,1,21.9425942269288,5.25435621596377
77,2,0,1,1,13.5888309354759,7.21859522319906
78,3,0,1,1,5.25189242266015,11.7068835001717
79,3,0,0,1,5.21928798756005,11.1776936352991
80,1,1,0,1,29.2906148351819,7.572436761447
81,3,0,1,1,2.25235446407709,12.9787311240199
82,3,1,0,1,0.762313098842422,4.91604000397546
83,1,1,0,1,28.84346899415,6.61807469857712
84,2,0,1,1,14.5173683990201,22.5845489889487
85,2,1,1,1,15.1227539577738,5.33868413284716
86,3,1,1,1,5.40235905342613,2.61281653453909
87,3,1,1,1,4.86609013779614,7.97558599121764
88,2,1,1,1,7.3773498077424,8.00254252125744
89,1,0,0,1,32.8000574546222,16.3705098759704
90,1,1,0,1,28.4121778370569,2.3495711073295
91,1,0,0,1,19.9108892694019,7.03904018975286
92,3,0,0,1,4.59790465825942,8.8386412065548
93,2,1,0,1,27.9809353471068,9.7451978775825
94,2,1,0,1,24.1097727093508,6.91786347374086
95,3,1,0,1,5.2669448957409,5.78773037239299
96,1,0,0,1,23.6630650739514,7.5274346920347
97,2,0,0,1,2.8968370689083,4.82308084201619
98,3,0,1,1,3.4657950889329,28.3065407436324
99,1,0,0,0,11.2137121827678,3.74869860355344
100,3,0,1,1,4.94290118372457,18.3495202154725
101,1,0,0,0,4.88360760742214,2.23733290307088
102,3,1,1,1,3.49264361749329,3.20804724106125
103,2,1,0,0,14.4014703198904,2.56180288572071
104,3,1,1,0,3.29953378957968,12.8508035709443
105,3,1,1,1,8.8369069198243,8.13279517200032
106,2,1,1,1,14.0397276446283,5.72481499974447
107,3,0,1,1,5.41331237399625,7.58992567687744
108,2,0,1,1,8.13918885219806,12.0641516200224
109,2,1,1,0,4.06062907903085,14.0405304537775
110,2,0,1,1,3.29440357181642,7.70008169331146
111,2,0,0,1,3.79476841600053,5.45407528212153
112,2,1,1,0,6.52485150180601,2.94464275467265
113,2,0,1,1,7.79716975935335,6.74949114676146
114,2,1,0,1,8.14470680606576,1.41070616491123
115,3,1,1,1,9.21568075037042,2.9475590388233
116,2,1,0,1,7.83789945315349,7.40057560523125
117,3,1,0,1,7.97305709186574,5.74101022123974
118,3,1,1,1,6.60340962705251,8.67931804041312
119,3,0,1,1,3.32720761189226,18.4477961697776
120,1,0,1,1,6.09602333851335,23.1946690203875
121,3,0,1,0,3.31614205239948,4.7256523773007
122,3,0,1,1,3.08506609885869,12.6487546228099
123,3,1,1,1,7.04892341575325,8.76200476132297
124,2,1,0,1,14.9048421076176,2.86575982051846
125,3,0,1,1,4.02346489206027,9.92326924447494
126,3,0,1,1,4.79681841134598,11.8701110805407
127,2,1,0,1,9.07730633721651,3.71957267567785
128,1,0,0,1,10.2985338206505,10.8469692626813
129,1,0,0,0,6.0913319031048,3.7042822983559
130,2,1,0,1,14.8265512442001,4.19011020931051
131,3,1,0,1,4.05410107588718,6.26191495353354
132,2,1,0,1,20.3139058781991,4.69204378235525
133,1,0,0,0,5.10782420011544,3.88838302917068
134,3,0,1,0,2.11075085775979,4.71215646112084
135,2,1,1,1,9.8009460907995,4.5218804750066
136,3,0,1,1,4.09484215747071,1.0674116180399
137,2,1,0,0,18.5846981127375,9.44855746030063
138,3,1,1,1,0.538416881634616,4.8441214714688
139,1,0,1,1,8.02943219862831,8.10427401686594
140,1,0,1,0,6.18599194288114,2.1854093155085
141,1,0,0,0,6.91642524595434,1.36102162716918
142,2,0,1,1,7.86274548941844,18.7456738684806
143,1,0,0,1,34.019004635019,1.85270770623374
144,3,1,0,1,13.2638796073587,5.66117505773504
145,1,1,0,0,28.9020787544612,4.96391998411836
146,1,0,0,1,28.4687749696944,10.1888033153779
147,3,1,1,1,3.20303776856137,8.70861926195048
148,1,0,1,0,2.53669789492061,6.85823079564291
149,3,1,1,1,10.2776045886053,10.9900356272865
150,3,1,1,0,3.15966293098088,5.49192212083874
151,1,0,0,0,9.10063437024069,1.88383411677572
152,3,0,1,1,0.138511908991538,3.91538014829383
153,1,1,0,1,18.8595451937663,2.22412246105946
154,3,0,1,1,2.61155106088202,11.3381221945425
155,2,0,0,1,5.98045978144299,4.4502433037912
156,3,0,1,0,3.15506489922532,5.38653265930179
157,2,1,0,1,35.8663268311714,6.40531215538987
158,2,0,1,1,3.44239905173733,8.84133823777185
159,2,1,1,1,3.112468693812,13.1967442780284
160,1,0,0,0,6.88176318231673,1.30999216392112
161,1,1,0,0,10.9031133377232,4.19567530141107
162,1,0,0,1,9.36119592027528,9.8195225581956
163,2,0,1,0,1.02756308714174,3.79337238405427
164,1,0,0,1,4.69471189722643,10.4589669839038
165,1,1,0,1,66.0613282664464,10.111748714459
166,3,1,1,1,5.24641922767297,4.06980761246992
167,1,1,0,0,5.34560461882431,4.15262004717194
168,1,0,1,0,5.9507665157555,6.3331250379231
169,3,0,1,0,2.54831254416216,3.32222277106428
170,2,0,0,1,9.0272465058704,11.7716870976552
171,3,1,1,1,9.90732283531809,1.09985638388023
172,2,1,1,1,4.52195867674434,1.46793248861493
173,3,1,1,1,7.8896054417276,8.03946551500888
174,3,1,0,1,7.94652905807079,1.68491818873318
175,3,0,1,1,1.74199062329184,16.9889619498782
176,3,1,1,1,6.07862132417308,11.6434181739238
177,2,1,0,0,9.18139875558481,3.76672463960861
178,2,0,1,1,12.9370810073751,20.5382853838008
179,2,0,1,1,7.36060899307414,4.23829671442235
180,2,0,0,1,7.07453916109122,5.07915740299886
181,3,1,1,1,9.00143198198963,17.963409942966
182,2,0,0,1,5.79353963186296,14.5823310673325
183,3,1,1,1,13.3788068754698,9.99114258642108
184,3,1,1,0,7.1881059883627,11.8853986496837
185,1,0,1,1,9.7250529192608,3.56404875716868
186,2,1,0,1,16.7347479271472,5.85752734885326
187,3,1,1,1,6.65570255464968,9.70540122554984
188,3,1,1,1,7.12449351854575,0.622176951700218
189,1,0,0,0,2.93467611973778,3.27354817046447
190,1,0,0,1,10.0151600377926,6.66601330743006
191,1,0,0,1,19.4498897667304,5.27001383254338
192,2,1,0,1,23.3466268058783,10.4690404457053
193,3,0,0,1,6.2629084870733,3.97313008414058
194,3,1,1,1,9.23084989215358,10.6226323073929
195,2,0,0,1,13.1272547179997,4.63887876590364
196,1,0,0,0,1.07486452774176,3.59296613886656
197,2,0,1,1,9.7124233969206,16.6223881429928
198,1,1,0,0,24.655307373507,3.598364074798
199,2,1,0,1,30.2014498944827,5.72665614360974
200,3,1,1,1,3.93197603711568,14.4189466242954
201,1,1,0,1,26.6168131785951,0.97397145966828
202,1,0,0,1,13.493933032452,4.16615802842784
203,3,0,1,1,6.2962219965395,7.59388793514226
204,2,1,1,1,1.43332974441838,4.6395060442089
205,3,1,1,1,12.9840804681539,1.08362945680978
206,1,0,0,1,27.4531630338722,1.76321103479179
207,1,0,0,0,1.91435367158381,3.78791754292504
208,1,1,0,0,7.23778833533292,4.49694730326233
209,1,0,0,0,5.90212370175333,2.44630877568758
210,2,0,0,0,1.1707613474259,1.37371613487288
211,3,1,0,1,6.25482793915243,5.87483696297869
212,2,1,1,1,3.35744752581357,1.85548541811392
213,2,1,0,1,13.9617740997337,2.44738033436101
214,3,1,1,1,5.79831584327099,14.2929090805352
215,2,0,1,1,5.36854316646764,8.5684280452852
216,1,0,0,1,21.9541236205272,4.84984325306805
217,3,1,1,0,2.79396171703212,12.0374336865201
218,2,0,1,1,3.83334138953366,17.6172740770781
219,3,1,1,1,5.19917636682933,11.1892997602261
220,2,0,0,1,18.8380336326238,8.15529682000292
221,3,1,1,1,6.68354320771839,10.3907809103197
222,2,1,0,1,35.1281492688599,7.20409765346066
223,3,1,1,1,1.60282132796604,8.9293737979115
224,2,1,0,1,20.1721739329985,6.09778464455583
225,2,1,0,1,4.09930827757399,3.63177253933013
226,2,1,1,0,12.4550927438063,10.0413899000146
227,2,1,0,0,3.24767464117302,2.88360041828032
228,2,0,1,1,4.35954881079863,28.1497442474027
229,2,0,1,1,1.89604591317441,6.2099887360826
230,3,0,0,1,14.3076054315448,1.46701246040852
231,3,1,1,1,5.21088143000299,9.36838769754592
232,1,1,0,1,24.1632812287602,6.07072403206242
233,3,1,1,1,3.97180707818056,2.17654960697291
234,2,0,0,0,4.94560302028442,6.75811539060847
235,2,0,0,0,6.53220740597417,0.734518308639269
236,1,1,0,1,34.7248329857109,2.94837948541908
237,3,1,1,1,2.41479555490101,6.25867303183267
238,1,0,0,0,17.4195267193964,3.16777136492848
239,2,0,0,1,19.0625376429378,9.63175790253488
240,3,1,1,1,2.22020097788417,6.44987983835926
241,2,0,0,0,2.31698122439128,5.08761440413529
242,2,1,0,0,2.55466537127203,8.27966323000698
243,1,0,0,0,9.89894668416442,4.18729445089482
244,1,0,0,1,19.999208189278,8.08930406812357
245,1,1,0,0,19.2176418042086,2.4169924059971
246,2,1,0,1,2.15428844870114,6.90532302675215
247,2,1,0,1,7.12579728831418,2.18334865654861
248,1,0,0,1,22.5620320212609,9.59646838851223
249,3,0,1,1,2.47997280101575,8.99517162055993
250,3,0,0,0,2.94006784077761,3.57709101169674
251,3,1,1,1,8.8189820131166,9.89762101359529
252,2,1,0,1,32.2110825925946,3.90604274136568
253,2,1,0,1,19.7102249403217,6.6204729735027
254,2,0,0,1,5.89211163030958,2.75299226171822
255,2,0,1,1,4.57624626338687,16.3634416116656
256,2,0,0,1,2.76213267756628,5.25239170778471
257,1,0,0,1,30.6064233172999,13.3170054842968
258,1,0,0,0,12.2268875725129,1.81443715894394
259,1,0,0,0,11.054203002377,0.984906088224512
260,2,1,0,1,18.5903314662357,4.1519396488652
261,3,1,0,1,13.9826304179192,2.51757175539372
262,2,0,0,1,6.58755186094741,5.24505287249141
263,1,1,0,0,14.566614044695,4.00792162679845
264,3,1,1,1,12.2137882027029,4.28125809950056
265,2,1,0,0,4.43343706810129,5.90787479941829
266,2,1,0,1,20.9380243895483,5.04482900292488
267,1,0,0,0,7.40820822276712,3.19911830919757
268,2,0,0,1,8.29554356190007,8.17313881080904
269,3,0,1,1,1.94122747014468,8.87892551679246
270,3,0,1,1,2.86489864324734,6.5914226564381
271,2,0,0,1,7.8628467106539,4.18858283354302
272,1,0,0,0,6.7450449395307,2.7202576275568
273,3,0,1,0,2.22197477172907,7.05414315770345
274,2,0,0,0,1.32197388882976,1.36074113647837
275,1,1,0,0,13.008136479825,4.28558435788394
276,1,1,1,1,12.8077530255545,2.4873150165329
277,1,1,0,0,13.3661675188525,7.71547231623027
278,3,1,0,1,12.6469251056283,6.78772806413897
279,1,0,0,0,5.27098444725371,4.22311049577381
280,2,0,1,1,18.4703733039898,8.8932496196901
281,1,0,0,0,2.6809242144188,4.23352435555401
282,2,0,0,1,7.26863491149098,6.97737945521453
283,2,1,1,1,4.86221683874781,12.4909496732074
284,3,1,1,1,5.23167364977668,9.9615161413767
285,2,1,0,0,8.57918802301313,6.24212187454431
286,2,1,0,1,21.5728028828212,3.13826794134948
287,3,1,1,1,10.9146494660907,10.9290223385531
288,1,0,0,1,7.39480188711115,7.85414442074265
289,2,0,0,1,1.70312897718119,16.4270311651592
290,1,0,0,1,14.319195894093,3.98796858681007
291,2,0,0,1,9.86292130197526,7.55213804692765
292,2,0,0,1,6.79990923257558,17.7292980311912
293,3,0,1,1,1.58528574305779,20.4108335820807
294,3,0,1,1,4.66677475627757,13.4659762416272
295,2,0,1,0,2.9356112495723,10.6393462297023
296,3,1,0,1,7.72136404644787,5.78978676074927
297,1,0,0,1,17.6644385002757,5.64898291401208
298,3,1,0,0,6.49268914013074,8.0785319675655
299,2,0,0,1,12.9928118813497,3.40347669599856
300,2,0,1,1,3.46429941537448,8.7583310711113
301,3,0,1,1,3.82101312099585,8.5598734032161
302,3,1,1,1,2.37364845325907,12.6765387996343
303,3,1,1,0,3.17033482572978,12.0243511297514
304,3,1,1,1,3.43975474426546,5.69437060489293
305,2,1,1,1,13.659521339719,5.02687070322779
306,3,1,1,1,10.6897412831945,2.684370378064
307,2,1,1,1,0.803688235802957,7.5407978132365
308,2,0,0,0,4.82081266617383,0.633613214878991
309,2,0,1,1,6.33749989346452,10.4734404938977
310,3,0,1,1,3.19522754672379,8.52398953877115
311,2,0,1,1,2.81376595114798,7.05395190417908
312,2,1,0,0,7.61733131849015,1.35989602045771
313,2,0,1,1,9.75926413379225,17.5349557686937
314,2,0,0,1,9.55811174987631,7.38557791065251
315,2,1,0,1,6.89034167454865,8.01769261572701
316,3,0,0,1,11.4160195871099,8.28126335062466
317,1,0,0,0,8.15545984166,2.6634225293808
318,1,0,0,0,11.6336528842901,0.79788744584531
319,1,0,0,1,25.1017810503196,1.79103652335367
320,1,0,0,0,7.8577424066448,3.21812453041511
321,1,0,0,1,31.6865351755357,12.8492950446904
322,2,1,1,1,9.63587770974841,5.53396255798592
323,3,1,0,1,10.5920673236575,6.01809908493066
324,3,1,1,1,10.7824330643245,4.19842719943388
325,3,1,0,1,7.550482130239,1.95704733518881
326,2,1,0,1,4.71986363858647,13.3649675650866
327,3,0,1,1,0.602627732971161,16.9141656762972
328,1,1,0,0,28.1537980969399,6.70205433056367
329,3,1,1,1,8.57289867082309,5.27933361938982
330,3,1,1,1,5.76442627050766,11.8152481813423
331,1,0,1,1,22.4201914285904,34.3322933912985
332,1,1,0,1,18.493946181175,4.45480546855865
333,1,1,0,1,17.7896846101854,1.24705510151851
334,3,0,1,1,3.32114999512832,10.8967949485088
335,2,0,1,1,16.6164945235098,8.03781344683849
336,2,1,0,1,3.38485053928189,3.91898119870177
337,3,0,1,1,3.47703772876784,10.9429473488419
338,3,1,1,1,8.31915872208244,9.77018403300637
339,3,0,0,0,2.89619854876466,3.06151676847473
340,3,0,1,1,1.88414880296725,21.3663093054708
341,2,1,0,0,19.2325534858692,6.06157939663014
342,3,1,1,1,4.45849239099186,2.08065808727348
343,3,1,1,1,4.70227850353724,7.31601267302575
344,3,1,1,1,0.50937786126999,0.705859579561487
345,1,0,0,0,1.53019425303049,3.54824056380736
346,3,1,0,1,9.6574556652779,10.2690926553061
347,2,1,0,0,14.0931008927611,6.1939500726684
348,3,1,1,1,5.71745891645032,12.7036175020232
349,2,0,0,1,7.36453193778507,5.61110925393978
350,1,1,0,0,22.716020936083,5.64194318003117
351,3,1,1,1,0.531281055365166,1.07508849409047
352,1,0,0,1,6.46613068870497,14.2465318744262
353,3,1,1,1,5.7644198987698,18.2576919669471
354,2,1,0,1,18.636549635422,2.41420699932659
355,2,1,0,0,18.1106751832269,2.14612532312846
356,3,0,1,1,2.25019402278518,14.1667624188856
357,2,1,1,1,15.1177868991667,12.2444452916146
358,3,0,1,1,2.15310688701575,3.6649798417341
359,3,0,1,1,4.82966549124858,18.0799455455344
360,1,1,0,0,9.86330344137966,3.97934325868617
361,1,1,0,0,12.9416181621959,2.17286424925201
362,3,1,1,1,5.0385164059743,14.7906016717506
363,2,1,1,1,17.9386393180105,8.16672235620575
364,1,0,0,1,17.6784247211387,3.86342318881323
365,1,1,0,1,9.56100594770217,4.0117371867143
366,3,0,1,0,1.3492074527701,10.5919303272329
367,3,0,0,1,8.59765253665094,10.6379546228025
368,3,1,1,1,5.60671359575969,7.584714693349
369,3,1,0,1,12.4629624863967,2.61286601120438
370,1,0,0,1,6.75648520264231,5.24138326774325
371,2,1,1,0,4.60450121182161,4.26472166728585
372,1,0,0,1,34.2958426455581,13.6067886232522
373,1,0,0,1,0.342848453377158,3.26764585648639
374,1,1,0,1,23.3261989017745,3.35164951919958
375,2,0,0,1,10.3862407839571,9.68905636758083
376,3,1,1,1,8.07258544854046,10.1547177756616
377,2,0,0,1,17.3077480139676,11.7852145620044
378,3,0,1,1,3.23225142553663,8.14930518727935
379,2,1,0,1,14.5711521533781,4.4047257778187
380,2,0,1,1,15.5771808042966,21.3885219243
381,2,1,0,0,3.74257367920473,3.43159693302392
382,3,1,0,0,9.89101020622682,6.23763982160002
383,2,0,1,1,10.8200087076026,5.79766172145906
384,2,0,0,1,6.87304132913404,17.1758868814249
385,2,0,0,1,4.09689472960915,14.1869766392056
386,3,1,1,1,2.44209620793162,7.27296104331708
387,2,1,0,1,21.8194071442703,5.01350112678055
388,3,0,1,1,3.82333009134481,27.032105505754
389,3,1,1,1,6.04362506270655,11.5023871561222
390,2,0,0,0,6.37009242629836,1.79224463375738
391,2,0,0,0,5.79720107120383,1.81305609825475
392,3,1,1,1,7.18401134308651,9.8288799504218
393,3,0,1,1,2.11217050090765,9.52034714159947
394,2,0,1,0,2.89919405105216,5.69984686421467
395,1,1,0,0,16.5301440595489,2.25064094312822
396,2,0,0,1,12.9095152457231,2.82838087636338
397,3,0,1,1,2.3536104338172,25.1507942779029
398,1,0,0,1,28.4746551664518,1.73242362079863
399,2,0,0,1,15.8649226113992,8.46842700989063
400,2,1,0,1,32.4419081579349,3.60435875094705
401,2,0,0,1,13.3539646332935,4.89558793302339
402,3,0,1,1,2.85864167885435,18.5608340003726
403,3,1,1,1,2.37056828874427,3.88484672732112
404,1,1,0,1,53.342273714882,14.4600242801639
405,3,1,1,1,4.15969223782873,14.0351464803865
406,3,0,1,1,2.24167109015428,16.6427514883632
407,2,1,1,1,9.12357979033517,8.70602171230762
408,2,1,0,1,10.4991585196958,3.77257416072597
409,2,0,0,0,2.13070420645858,4.03918013337364
410,1,0,0,1,15.8146243110931,17.8844181087496
411,1,0,0,1,23.946371710909,7.94990328811953
412,2,1,1,1,3.63540390075502,7.48016194573598
413,3,0,1,1,3.27637229876768,12.0982264131676
414,2,0,1,1,9.05139074767387,3.56134236834251
415,3,1,1,1,2.20942815095304,10.1153179010469
416,1,0,0,0,7.57566089951909,5.38209804155227
417,1,1,0,0,19.8189003713318,1.92491395614181
418,1,0,0,0,12.298208115396,2.40719725802967
419,3,0,1,1,4.89727703148532,19.174888661098
420,2,1,1,1,9.23960367469362,2.82387160056047
421,2,0,1,1,3.0938996037776,14.8678269484696
422,3,0,1,1,5.01687100254766,6.36703688515542
423,2,0,0,1,6.03175697927949,15.6995838426444
424,1,0,1,1,1.21082258844811,17.0812675357002
425,2,0,1,1,6.58705536691919,4.6746360322457
426,2,0,0,1,11.5998596731945,8.15486928235719
427,2,0,0,1,5.6505451127079,1.62853588468538
428,2,0,0,1,3.13798376649362,1.70578427479294
429,3,0,1,1,2.14536032338896,4.87873884875614
430,2,0,1,1,3.37387500134921,19.3393434794894
431,3,0,1,0,2.8781885636017,1.35821833471815
432,3,1,0,1,17.1044319739853,9.41365215701628
433,2,1,0,1,6.20728812598639,2.64032730426754
434,2,1,1,1,12.3205996107915,7.77282093398046
435,3,0,1,0,1.53224341526702,3.16162886090189
436,1,0,0,0,11.3909047647384,6.44370117593627
437,1,0,0,0,16.3067602373708,5.02018183363244
438,3,0,1,1,3.26449672232942,12.4886455441332
439,3,0,1,1,1.02833554576768,28.4131716101006
440,2,0,0,0,3.2719857516276,2.88341608547954
441,1,1,1,0,7.81291334162054,6.31774104407332
442,2,1,0,1,17.9095378817024,0.968900147892042
443,2,1,1,1,2.17088955832917,8.5868430407296
444,2,0,1,1,4.98273912365956,9.16035603167155
445,1,0,0,0,13.8558237573036,0.849240360974654
446,3,0,1,1,3.25992517663758,9.56066786728231
447,2,0,1,1,12.4999441578533,22.0551648253406
448,2,0,1,0,5.63585398632945,2.94021829091744
449,1,1,0,1,19.0270343668916,2.87459726162902
450,2,1,0,1,19.4452016090341,9.63083734935231
451,2,1,0,0,9.913270626829,5.21498362199804
452,2,1,0,1,17.8922367595137,3.33362418781435
453,1,0,0,0,25.2580197311099,2.95843446354096
454,3,1,1,1,2.61757027972423,2.5978675638558
455,2,0,1,1,1.6791300571037,23.3239402371408
456,3,1,1,1,7.61202480522682,7.98545718113016
457,3,1,0,1,6.01006910297693,2.09659455216881
458,1,0,0,0,10.8072970076318,2.55232461787821
459,2,0,1,0,1.4410396957144,6.26630964048592
460,3,1,1,1,6.72588551618621,16.7865770220151
461,2,0,0,1,18.7716171487006,7.40881799331221
462,3,1,1,1,2.47262039908432,6.57703975822974
463,2,1,1,1,10.9371330869316,2.60611008101564
464,2,0,0,1,8.52626682375652,19.1642721411902
465,3,0,1,1,1.21045248005899,13.6790813903584
466,3,0,1,1,5.69299889710804,21.2350903397312
467,2,1,0,1,14.8535093128522,5.91959932667748
468,2,0,1,1,13.5601071283153,21.814894740611
469,3,0,1,1,1.6320640526151,3.85051705992305
470,2,0,1,1,4.16933511274796,24.2542865893787
471,2,1,0,1,17.4147820453702,10.9893040643805
472,2,1,0,0,6.868747710047,3.14529010924625
473,1,0,0,1,19.7533284414918,4.56418485155646
474,3,1,1,1,3.34692040938871,8.36269663946018
475,2,1,0,1,12.1909884083558,4.94545469934712
476,1,1,0,1,31.1222953561151,2.02087040273363
477,2,0,0,1,4.5639431326993,13.9326533642366
478,3,1,1,1,2.84782785225948,15.3053755740537
479,1,0,0,1,13.9288836297735,9.64549483007509
480,1,0,0,1,11.5030017129691,9.22130720980121
481,2,0,0,1,6.53743670508109,10.6954004904794
482,1,0,0,0,10.0458117777582,3.89542484686635
483,2,0,0,1,8.3739860635033,5.36978484326912
484,2,0,1,1,8.5181675876653,9.49461475170238
485,2,0,1,0,5.6174500215936,4.82017696283468
486,3,1,1,1,4.79575846438203,11.9913785232729
487,2,0,1,1,10.0137844163705,6.12090822434964
488,1,0,0,0,2.16036524131838,5.13809442664266
489,3,1,0,1,6.5730978489622,6.16424272862451
490,2,0,1,1,4.82896340912976,14.7628268608453
491,3,1,1,1,7.40347490032494,3.22716200860432
492,2,0,1,0,10.2015104880318,5.91266189492534
493,2,1,1,0,6.58814625579032,4.58451217803772
494,3,1,1,1,6.75482857644193,5.82439036960727
495,3,0,1,0,1.84432692848924,5.69119326449513
496,2,0,1,1,7.63998635975829,8.89399137206968
497,2,1,1,1,15.5076456049011,9.46250666863843
498,1,0,0,0,3.16044547772081,2.00001946596697
499,1,0,1,1,12.3083043321328,0.317362999942307
500,3,1,1,1,5.83447001747023,5.26100378017887
501,1,1,0,1,12.8788584744508,4.9745709926362
502,2,0,0,1,8.17840764517027,6.38285135170483
503,3,1,1,1,8.27927349932987,6.55553359346826
504,1,0,0,0,5.28481666718229,3.48133462125063
505,2,1,1,1,9.44522737973993,9.98134350010482
506,2,0,1,1,3.01372633691384,22.2258668939348
507,2,0,0,1,2.77771782665304,12.8613138272482
508,3,0,1,0,0.950144350453925,5.6477911546472
509,3,1,1,1,8.96061428975966,6.28523795242774
510,2,0,1,0,2.06049512566795,8.62033643095383
511,3,1,1,1,4.40912780379715,8.32215282230818
512,2,0,1,1,2.49418571259942,10.2704185594621
513,2,0,0,0,7.27477781291728,4.44701930516025
514,3,0,1,0,1.55479968101204,3.78795429289357
515,3,0,1,1,1.82593663770582,6.10648025929006
516,3,0,1,0,1.08434968042862,7.08983202642194
517,2,1,1,0,5.05286857345943,16.3193927360915
518,3,1,1,1,2.60858251864075,11.9211435568399
519,3,1,1,1,5.49893563668203,9.99157290477235
520,2,0,0,1,12.2992730431982,7.62830740563254
521,3,0,1,0,1.3407477523436,6.18184544044818
522,1,1,0,0,8.07143165223444,3.1944108153719
523,2,0,1,1,6.00695534447805,17.3226349741446
524,3,1,1,0,6.65990472353543,3.18491352755542
525,3,1,1,1,4.17987923193455,16.326800149154
526,2,0,1,0,2.72264594680882,7.96402682702248
527,1,0,0,0,13.5853595724386,1.81025031960133
528,1,0,0,1,6.90024734249374,8.92057872813021
529,3,1,1,1,9.37881519088546,15.1788004039229
530,1,0,0,0,8.73714704395391,3.48632052468155
531,2,0,0,0,5.33605775931486,3.75683927516323
532,2,0,0,1,16.8585393092871,9.16836048574553
533,3,1,1,0,0.960275744639629,6.5974732080938
534,3,1,0,0,6.91390207523885,7.17932300159444
535,2,0,1,0,5.23966993531483,8.18609210117251
536,2,0,0,0,4.02282656365014,3.96993091068351
537,3,1,1,1,1.01039340171298,3.48120269204634
538,2,0,0,1,9.83991644716698,9.79630256010247
